0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.050000 -0.443493 0.000000 0.468222 0.000000 0.468222 0.000000 0.489229 0.000000 0.443493 0.024665 -1.402805 0.026284 0.466361 0.026284 -0.489229 -0.027904 0.443493 -0.024665 0.466361 -0.026284 -1.402805 -0.026284 -0.489229 0.027904 0.443493 0.000000 -0.468222 0.000000 -0.468222 0.000000 -0.489229 0.000000 
0.100000 -0.606085 0.000000 0.705771 0.000000 0.705771 0.000000 0.793951 0.000000 0.606085 0.056720 -2.111559 0.066821 0.700018 0.066821 -0.793951 -0.076923 0.606085 -0.056720 0.700018 -0.066821 -2.111559 -0.066821 -0.793951 0.076923 0.606085 0.000000 -0.705771 0.000000 -0.705771 0.000000 -0.793951 0.000000 
0.150000 -0.543401 0.000000 0.742836 0.000000 0.742836 0.000000 0.929191 0.000000 0.543401 0.047413 -2.221969 0.075310 0.736296 0.075310 -0.929191 -0.103206 0.543401 -0.047413 0.736296 -0.075310 -2.221969 -0.075310 -0.929191 0.103206 0.543401 0.000000 -0.742836 0.000000 -0.742836 0.000000 -0.929191 0.000000 
0.200000 -0.409540 0.000000 0.696250 0.000000 0.696250 0.000000 0.982515 0.000000 0.409540 0.000804 -2.088528 0.052081 0.696027 0.052081 -0.982515 -0.103358 0.409540 -0.000804 0.696027 -0.052081 -2.088528 -0.052081 -0.982515 0.103358 0.409540 0.000000 -0.696250 0.000000 -0.696250 0.000000 -0.982515 0.000000 
0.250000 -0.279712 0.000000 0.629567 0.000000 0.629567 0.000000 1.005479 0.000000 0.279712 -0.063649 -1.901730 0.012464 0.642596 0.012464 -1.005479 -0.088577 0.279712 0.063649 0.642596 -0.012464 -1.901730 -0.012464 -1.005479 0.088577 0.279712 0.000000 -0.629567 0.000000 -0.629567 0.000000 -1.005479 0.000000 
0.300000 -0.174205 0.000000 0.565003 0.000000 0.565003 0.000000 1.018858 0.000000 0.174205 -0.132736 -1.726537 -0.032546 0.596532 -0.032546 -1.018858 -0.067643 0.174205 0.132736 0.596532 0.032546 -1.726537 0.032546 -1.018858 0.067643 0.174205 0.000000 -0.565003 0.000000 -0.565003 0.000000 -1.018858 0.000000 
0.350000 -0.094151 0.000000 0.508589 0.000000 0.508589 0.000000 1.030154 0.000000 0.094151 -0.199663 -1.579330 -0.077098 0.562152 -0.077098 -1.030154 -0.045467 0.094151 0.199663 0.562152 0.077098 -1.579330 0.077098 -1.030154 0.045467 0.094151 0.000000 -0.508589 0.000000 -0.508589 0.000000 -1.030154 0.000000 
0.400000 -0.035513 0.000000 0.460725 0.000000 0.460725 0.000000 1.041668 0.000000 0.035513 -0.261575 -1.460041 -0.118624 0.538590 -0.118624 -1.041668 -0.024328 0.035513 0.261575 0.538590 0.118624 -1.460041 0.118624 -1.041668 0.024328 0.035513 0.000000 -0.460725 0.000000 -0.460725 0.000000 -1.041668 0.000000 
0.450000 0.006320 0.000000 0.420432 0.000000 0.420432 0.000000 1.054063 0.000000 -0.006320 -0.317423 -1.364734 -0.156025 0.523871 -0.156025 -1.054063 -0.005373 -0.006320 0.317423 0.523871 0.156025 -1.364734 0.156025 -1.054063 0.005373 -0.006320 0.000000 -0.420432 0.000000 -0.420432 0.000000 -1.054063 0.000000 
0.500000 0.035138 0.000000 0.386467 0.000000 0.386467 0.000000 1.067227 0.000000 -0.035138 -0.366956 -1.288979 -0.188989 0.516045 -0.188989 -1.067227 0.011021 -0.035138 0.366956 0.516045 0.188989 -1.288979 0.188989 -1.067227 -0.011021 -0.035138 0.000000 -0.386467 0.000000 -0.386467 0.000000 -1.067227 0.000000 
0.550000 0.054102 0.000000 0.357617 0.000000 0.357617 0.000000 1.080928 0.000000 -0.054102 -0.410506 -1.228648 -0.217647 0.513413 -0.217647 -1.080928 0.024787 -0.054102 0.410506 0.513413 0.217647 -1.228648 0.217647 -1.080928 -0.024787 -0.054102 0.000000 -0.357617 0.000000 -0.357617 0.000000 -1.080928 0.000000 
0.600000 0.065593 0.000000 0.333000 0.000000 0.333000 0.000000 1.094876 0.000000 -0.065593 -0.448392 -1.180641 -0.242172 0.514642 -0.242172 -1.094876 0.035953 -0.065593 0.448392 0.514642 0.242172 -1.180641 0.242172 -1.094876 -0.035953 -0.065593 0.000000 -0.333000 0.000000 -0.333000 0.000000 -1.094876 0.000000 
0.650000 0.071415 0.000000 0.311796 0.000000 0.311796 0.000000 1.108768 0.000000 -0.071415 -0.481102 -1.142269 -0.262935 0.518677 -0.262935 -1.108768 0.044768 -0.071415 0.481102 0.518677 0.262935 -1.142269 0.262935 -1.108768 -0.044768 -0.071415 0.000000 -0.311796 0.000000 -0.311796 0.000000 -1.108768 0.000000 
0.700000 0.073064 0.000000 0.293420 0.000000 0.293420 0.000000 1.122411 0.000000 -0.073064 -0.509157 -1.111513 -0.280257 0.524674 -0.280257 -1.122411 0.051357 -0.073064 0.509157 0.524674 0.280257 -1.111513 0.280257 -1.122411 -0.051357 -0.073064 0.000000 -0.293420 0.000000 -0.293420 0.000000 -1.122411 0.000000 
